sample_date,rank,GLOBALEVENTID,SQLDATE,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,SOURCEURL
2025-01-01,1,1218366341,20240102,,,CALIFORNIA,USA,112,11,3,-2.0,2,1,2,-5.28169014084507,"Maryland, United States",US,https://www.scotusblog.com/2024/12/in-year-end-report-chief-justice-defends-judiciarys-independence/
2025-01-01,2,1218366342,20240102,,,UNITED STATES,USA,185,18,4,-8.0,2,1,2,-5.28169014084507,"Maryland, United States",US,https://www.scotusblog.com/2024/12/in-year-end-report-chief-justice-defends-judiciarys-independence/
2025-01-01,3,1218366343,20240102,CANADA,CAN,,,013,01,1,0.4,100,10,100,-0.60795208543801,Canada,CA,https://www.castanetkamloops.net/news/BC/525314/British-Columbians-a-slightly-more-optimistic-bunch-for-2025-poll
2025-01-01,4,1218366344,20240102,UNITED STATES,USA,AUTHORITIES,,013,01,1,0.4,10,5,10,-6.72622371028336,"Smithfield, Virginia, United States",US,https://www.nbcbayarea.com/news/national-international/virginia-man-arrested-as-agents-find-largest-cache-of-finished-explosive-devices-in-fbi-history/3748603/
2025-01-01,5,1218366345,20240102,ATLANTA,USA,NAVY,,040,04,1,1.0,6,1,6,1.38528138528139,"Atlanta, Georgia, United States",US,https://www.fbherald.com/news/state/jimmy-and-rosalynn-carter-are-back-together-again/article_5b554da2-383d-5809-b26d-ff001363cd11.html
2025-01-01,6,1218366346,20240102,ATLANTA,USA,NAVY,,040,04,1,1.0,1,1,1,1.38528138528139,"Georgia, United States",US,https://www.fbherald.com/news/state/jimmy-and-rosalynn-carter-are-back-together-again/article_5b554da2-383d-5809-b26d-ff001363cd11.html
2025-01-01,7,1218366347,20240102,ATLANTA,USA,NAVY,,040,04,1,1.0,1,1,1,1.38528138528139,"Georgia, United States",US,https://www.fbherald.com/news/state/jimmy-and-rosalynn-carter-are-back-together-again/article_5b554da2-383d-5809-b26d-ff001363cd11.html
2025-01-01,8,1218366348,20241202,,,ATTORNEY GENERAL,,040,04,1,1.0,130,7,130,0.591435252461109,"Alabama, United States",US,https://www.wsfa.com/2024/12/31/alabama-attorney-general-steve-marshall-rules-out-run-governor-2026/
2025-01-01,9,1218366349,20241202,POLICE,,OHIO,USA,190,19,4,-10.0,27,27,27,-3.23974082073434,"Richland County, Ohio, United States",US,https://fox56.com/news/nation-world/1981-ohio-murder-case-solved-suspect-was-killed-by-police-last-month-debra-lee-miller-james-vanest
2025-01-01,10,1218366350,20241202,POLICE,,OHIO,USA,190,19,4,-10.0,27,27,27,-3.23974082073434,China,CH,https://fox56.com/news/nation-world/1981-ohio-murder-case-solved-suspect-was-killed-by-police-last-month-debra-lee-miller-james-vanest
